,date,account_value
93,2019-08-13,90330.2290525922
94,2019-08-14,88746.47356366554
95,2019-08-15,88445.26550078658
96,2019-08-16,89755.66077771358
97,2019-08-19,90881.80740765986
98,2019-08-20,89695.12138337734
99,2019-08-21,90759.01985322287
100,2019-08-22,90791.78094761698
101,2019-08-23,90322.07744496595
102,2019-08-26,90673.93756054208
103,2019-08-27,91205.51871903791
104,2019-08-28,91137.17427119112
105,2019-08-29,91859.10420192691
106,2019-08-30,92075.7347265265
107,2019-09-02,92231.9124790347
108,2019-09-03,92281.36737337214
109,2019-09-04,93074.89896291809
110,2019-09-05,93434.46327553398
111,2019-09-06,93117.53920464475
112,2019-09-09,93447.84228061637
113,2019-09-10,93694.86211291686
114,2019-09-11,94400.8755764108
115,2019-09-12,94147.8693804753
116,2019-09-13,94487.18813482526
117,2019-09-16,93789.37200942292
118,2019-09-17,93493.88235892853
119,2019-09-18,93984.79652194174
120,2019-09-19,93882.99423263887
121,2019-09-20,93746.26037791485
122,2019-09-23,92691.25644984846
123,2019-09-24,93126.18929095691
124,2019-09-25,92411.95082202594
125,2019-09-26,92691.89892378225
126,2019-09-27,92962.33276867078
127,2019-09-30,93511.98302552568
128,2019-10-01,92668.5803007991
129,2019-10-02,90663.73674586248
130,2019-10-03,90260.49131540241
131,2019-10-04,90711.44642196632
132,2019-10-07,91574.22526790023
133,2019-10-08,90677.43546910856
134,2019-10-09,91091.78463717898
135,2019-10-10,91565.36129210166
136,2019-10-11,92504.30216810096
137,2019-10-14,92476.5319172088
138,2019-10-15,92834.3359421112
139,2019-10-16,92912.38546879325
140,2019-10-17,92795.76768100212
141,2019-10-18,92958.93121077436
142,2019-10-21,93185.4042543481
143,2019-10-22,93153.6078137331
144,2019-10-23,93383.33584821432
145,2019-10-24,93518.61774952762
146,2019-10-25,94845.13806122416
147,2019-10-28,94762.79941463076
148,2019-10-29,94794.52203014189
149,2019-10-30,94543.6596517851
150,2019-10-31,95431.85254647059
151,2019-11-01,96144.85402157766
152,2019-11-04,96681.29897363966
153,2019-11-05,96758.90765690108
154,2019-11-06,97113.91230375868
155,2019-11-07,98086.47460095193
156,2019-11-08,98396.08895473181
157,2019-11-11,98620.17102693875
158,2019-11-12,97657.83934638853
159,2019-11-13,96899.69050523304
160,2019-11-14,96537.48652599979
161,2019-11-15,97240.00414335218
162,2019-11-18,97253.2985865283
163,2019-11-19,97282.32406492748
164,2019-11-20,97182.371840331
165,2019-11-21,96919.71846127493
166,2019-11-22,97462.18554218339
167,2019-11-25,98308.12341986039
168,2019-11-26,98661.61225927438
169,2019-11-27,99094.16850989133
170,2019-11-28,98802.86247749852
171,2019-11-29,98885.81444352746
172,2019-12-02,97000.84748456371
173,2019-12-03,96705.89710915714
174,2019-12-04,97839.77663465103
175,2019-12-05,97839.6128638506
176,2019-12-06,99078.38665350643
177,2019-12-09,99131.09218028701
178,2019-12-10,98548.72737319522
179,2019-12-11,98816.31008355026
180,2019-12-12,99405.98957302017
181,2019-12-13,99841.94796771705
182,2019-12-16,100700.75361839213
183,2019-12-17,100511.98772565264
184,2019-12-18,100471.3273560515
185,2019-12-19,101369.3927445352
186,2019-12-20,101547.75422431692
187,2019-12-23,101782.35937661468
188,2019-12-24,101928.96524772057
189,2019-12-25,101926.37002121913
190,2019-12-27,102880.38010740464
191,2019-12-30,102547.26041931841
192,2019-12-31,101669.75519661178
193,2020-01-02,102813.08172317513
194,2020-01-03,102417.07226801371
195,2020-01-06,101658.50785962753
196,2020-01-07,101319.55701482465
197,2020-01-08,101564.83255390447
198,2020-01-09,101476.55857673685
199,2020-01-10,101230.42176874516
200,2020-01-13,101397.38736778148
201,2020-01-14,101475.82250121556
202,2020-01-15,101835.2080234898
203,2020-01-16,102323.58799992404
204,2020-01-17,103018.9354537797
205,2020-01-20,102670.15616143764
206,2020-01-21,102310.5632306331
207,2020-01-22,102293.94730244063
208,2020-01-23,101504.45761648113
209,2020-01-24,101711.66176739922
210,2020-01-27,100319.96448811695
211,2020-01-28,101466.53957853834
212,2020-01-29,102430.79735335878
213,2020-01-30,101532.76687568084
