date,account_value
2019-08-19,95107.51727825265
2019-08-20,95000.0546006596
2019-08-21,95589.85824658093
2019-08-22,95262.69453720289
2019-08-23,94713.22393839998
2019-08-26,94792.51199259788
2019-08-27,95886.28350470841
2019-08-28,96230.38293412764
2019-08-29,96414.75455613392
2019-08-30,96656.35768759823
2019-09-02,95916.86836067743
2019-09-03,96407.0017284543
2019-09-04,97636.40813796486
2019-09-05,97660.79840562907
2019-09-06,95677.7231941701
2019-09-09,95823.64449870125
2019-09-10,95500.22619906122
2019-09-11,97260.1165198066
2019-09-12,96781.53557299268
2019-09-13,96793.33725641858
2019-09-16,95846.5778284137
2019-09-17,96190.04573058894
2019-09-18,97658.21434964293
2019-09-19,97270.0126704609
2019-09-20,96581.90936098662
2019-09-23,96422.28591568103
2019-09-24,97267.14773619222
2019-09-25,95983.31715020387
2019-09-26,96766.13848644169
2019-09-27,97313.29662025586
2019-09-30,97889.01843644129
2019-10-01,97516.81023678608
2019-10-02,96563.12090873138
2019-10-03,95974.09057689796
2019-10-04,96598.49519756077
2019-10-07,97590.56867053745
2019-10-08,94809.08873298405
2019-10-09,94152.91141263625
2019-10-10,94683.75306026402
2019-10-11,95106.79258614044
2019-10-14,95979.42921907674
2019-10-15,95878.8680451885
2019-10-16,95944.80609787046
2019-10-17,95559.68736156098
2019-10-18,94562.39559651194
2019-10-21,95257.1930986005
2019-10-22,95416.60706454933
2019-10-23,95202.191885209
2019-10-24,95833.11442502591
2019-10-25,95736.96790433602
2019-10-28,96067.70614237571
2019-10-29,95851.97539389452
2019-10-30,96299.97498593705
2019-10-31,98058.47399453422
2019-11-01,97681.1248640031
2019-11-04,97269.87442577357
2019-11-05,97283.38292738475
2019-11-06,98020.61872880516
2019-11-07,98438.23669014644
2019-11-08,99563.19187947515
2019-11-11,99660.4812115003
2019-11-12,99010.69495184912
2019-11-13,97717.73907073034
2019-11-14,97834.70474751486
2019-11-15,98259.6641978365
2019-11-18,98710.20180091301
2019-11-19,98859.58825559316
2019-11-20,98394.91531965451
2019-11-21,97536.0766993014
2019-11-22,98301.29589609781
2019-11-25,98876.80039028956
2019-11-26,98536.91690997912
2019-11-27,98823.84033084458
2019-11-28,98781.07163509155
2019-11-29,98690.13910488333
2019-12-02,97039.21038963566
2019-12-03,96252.04287604647
2019-12-04,96877.60542980387
2019-12-05,97023.71635260129
2019-12-06,98233.80308000158
2019-12-09,97919.35141862773
2019-12-10,97608.36834735876
2019-12-11,97864.71148906116
2019-12-12,97780.04710251106
2019-12-13,98142.30141007599
2019-12-16,99251.60470968898
2019-12-17,99216.27011975298
2019-12-18,98662.16094620628
2019-12-19,98674.57630603322
